,Row.names,baseMean,log2FoldChange,lfcSE,pvalue,padj,significant
1717,ENSG00000088888,298.3481456,-0.545204238,0.151892967,1.46E-05,0.00097007,downregulated
1718,ENSG00000088899,4.398888511,-0.10294969,0.175639317,0.051500414,NA,unchanged
1719,ENSG00000088926,0.154538017,-0.000463767,0.128684327,0.95654781,NA,unchanged
1720,ENSG00000088930,1716.806337,0.045157202,0.065781681,0.426678795,0.632365478,unchanged
1721,ENSG00000088970,310.2742702,0.162072897,0.072922279,0.008669428,0.057969929,unchanged
1722,ENSG00000088986,862.8722646,0.154884551,0.079903497,0.018998658,0.094386367,unchanged
1723,ENSG00000088992,909.3231436,0.120285697,0.162034448,0.09926688,0.261605653,unchanged
1724,ENSG00000089006,404.5933348,0.051262881,0.077850621,0.411626398,0.61819889,unchanged
1725,ENSG00000089009,6283.02484,0.095947396,0.079344606,0.130683407,0.309724151,unchanged
1726,ENSG00000089012,93.24116132,0.056278519,0.099075972,0.406838926,0.61387306,unchanged
1727,ENSG00000089022,177.1967184,0.042993086,0.099128019,0.503072727,0.695885431,unchanged
1728,ENSG00000089041,184.9035706,-0.047019793,0.094088498,0.480157002,0.676167424,unchanged
1729,ENSG00000089048,55.92823135,0.10163195,0.092805296,0.147836202,0.334729408,unchanged
1730,ENSG00000089050,89.75012802,0.014810998,0.065247504,0.791207481,0.890116455,unchanged
1731,ENSG00000089053,1057.348531,0.021498804,0.04977854,0.638247768,0.792641306,unchanged
1732,ENSG00000089057,489.2047401,-0.049523128,0.080169336,0.42589279,0.631674036,unchanged
1733,ENSG00000089060,230.862452,-0.176977908,0.109337284,0.025868941,0.114257623,unchanged
1734,ENSG00000089063,268.5874344,0.148576318,0.08935231,0.034889984,0.138063279,unchanged
1735,ENSG00000089091,15.17027542,-0.004548443,0.097182104,0.941569366,0.971194915,unchanged
1736,ENSG00000089094,136.9809214,-0.561060726,0.155274457,1.37E-05,0.000933803,downregulated
1737,ENSG00000089101,0.257249948,-0.000170682,0.128539387,0.944354592,NA,unchanged
1738,ENSG00000089123,117.9464629,0.085131715,0.080783493,0.180450272,0.376089778,unchanged
1739,ENSG00000089127,1221.543415,-0.027079516,0.118708481,0.57760734,0.749499282,unchanged
